red,green,blue
28423,28532,28291
28424,28533,28292
28425,28534,28293
28426,28535,28294
28427,28536,28340
28468,28884,28723
28791,29305,29128
28996,29559,29381
28997,29576,29414
28998,29577,29415
28999,29578,29416
29000,29579,29417
29001,29580,29428
29134,29798,29664
29428,30011,29890
29588,30086,30007
29589,30087,30008
29590,30088,30009
29591,30089,30010
29592,30090,30011
29593,30091,30012
29594,30092,30013
29595,30093,30014
29596,30094,30015
29744,30095,30016
30032,30098,30232
30325,30491,30577
30542,30752,30816
30564,30753,30817
30565,30754,30818
30566,30755,30819
30567,30756,30820
30568,30757,30821
30600,30758,30822
30856,31035,30914
31037,31286,31143
31134,31462,31302
31228,31622,31449
31320,31761,31581
31410,31874,31692
31493,31916,31745
31567,31917,31746
31645,31918,31747
31738,31919,31748
31891,32006,31906
32136,32290,32185
32417,32594,32487
32678,32832,32725
32906,32975,32870
33137,33095,32990
33338,33191,33084
33473,33259,33148
33522,33272,33159
33523,33273,33160
33524,33274,33161
33525,33275,33162
33526,33338,33168
33527,33491,33294
33539,33653,33437
33576,33817,33588
33678,33986,33759
33907,34166,33968
34157,34346,34172
34316,34513,34328
34321,34568,34370
34322,34569,34371
34323,34570,34372
34324,34571,34373
34325,34572,34374
34326,34573,34375
34327,34574,34376
34328,34575,34377
34329,34576,34378
34453,34577,34379
34624,34624,34380
34806,34769,34447
35016,34959,34592
35293,35231,34806
35582,35517,35037
35827,35749,35226
35919,35870,35316
35920,35909,35317
35921,35928,35318
35922,35989,35319
35923,36122,35425
35935,36268,35557
36203,36429,35720
36424,36609,35930
36553,36812,36184
36635,37038,36445
36712,37270,36709
36822,37491,36974
37003,37689,37242
37258,37865,37518
37528,38015,37794
37756,38137,38064
37907,38221,38290
38019,38255,38392
38094,38256,38404
38129,38257,38405
38130,38258,38406
38131,38259,38407
38132,38260,38408
38133,38261,38409
38134,38262,38410
38135,38263,38411
38136,38264,38412
38137,38265,38413
38229,38266,38414
38547,38419,38415
38927,38695,38649
39250,38964,38893
39438,39215,39104
39575,39467,39302
39669,39703,39479
39715,39904,39623
39716,40021,39691
39717,40022,39692
39718,40023,39693
39719,40024,39694
39720,40025,39695
39721,40026,39696
39722,40027,39697
39723,40028,39698
39921,40035,39853
40149,40372,40198
40388,40779,40588
40618,41151,40938
