sub,repetition,direction,hue,chroma,lightness,shape,group,observation,block,trial
0,0,-90,180,15,90,fleur,hard,554,3,42
0,0,-5,180,15,90,triangle,hard,562,3,43
0,0,-30,85,15,90,fleur,hard,565,3,44
0,0,-5,0,15,90,circle,hard,575,3,45
0,0,-30,60,15,90,cross,hard,580,3,46
0,0,90,180,15,90,circle,hard,583,3,47
0,0,0,60,15,90,fleur,hard,587,3,48
0,1,-90,0,15,90,circle,hard,0,4,0
0,1,-30,120,15,90,cross,hard,1,4,1
0,1,5,95,15,90,cross,hard,9,4,2
0,1,90,0,15,90,fleur,hard,10,4,3
0,1,90,85,15,90,fleur,hard,11,4,4
0,1,-5,120,15,90,fleur,hard,13,4,5
0,1,90,85,15,90,triangle,hard,18,4,6
0,1,-90,85,15,90,circle,hard,20,4,7
0,1,5,0,15,90,cross,hard,22,4,8
0,1,-30,90,15,90,cross,hard,26,4,9
0,1,0,95,15,90,triangle,hard,43,4,10
0,1,90,95,15,90,fleur,hard,50,4,11
0,1,-5,95,15,90,triangle,hard,53,4,12
0,1,-30,60,15,90,triangle,hard,58,4,13
0,1,30,60,15,90,cross,hard,62,4,14
0,1,-90,60,15,90,triangle,hard,75,4,15
0,1,5,120,15,90,circle,hard,83,4,16
0,1,-5,90,15,90,fleur,hard,86,4,17
0,1,90,95,15,90,circle,hard,88,4,18
0,1,90,0,15,90,triangle,hard,94,4,19
0,1,90,120,15,90,circle,hard,97,4,20
0,1,-90,90,15,90,cross,hard,106,4,21
0,1,-90,85,15,90,fleur,hard,111,4,22
0,1,30,180,15,90,triangle,hard,114,4,23
0,1,0,120,15,90,triangle,hard,125,4,24
0,1,90,120,15,90,triangle,hard,126,4,25
0,1,30,85,15,90,cross,hard,129,4,26
0,1,-30,0,15,90,fleur,hard,133,4,27
0,1,0,95,15,90,cross,hard,136,4,28
0,1,-30,60,15,90,circle,hard,141,4,29
0,1,-30,0,15,90,circle,hard,142,4,30
0,1,-90,95,15,90,circle,hard,143,4,31
0,1,0,0,15,90,fleur,hard,148,4,32
0,1,0,60,15,90,circle,hard,150,4,33
0,1,30,180,15,90,circle,hard,153,4,34
0,1,-90,120,15,90,fleur,hard,155,4,35
0,1,-30,120,15,90,circle,hard,157,4,36
0,1,5,180,15,90,triangle,hard,159,4,37
0,1,5,60,15,90,circle,hard,160,4,38
0,1,-90,120,15,90,cross,hard,163,4,39
0,1,0,95,15,90,fleur,hard,164,4,40
0,1,-5,180,15,90,cross,hard,169,4,41
0,1,0,90,15,90,circle,hard,173,4,42
0,1,-5,85,15,90,cross,hard,177,4,43
0,1,-30,90,15,90,triangle,hard,178,4,44
0,1,-5,85,15,90,fleur,hard,189,4,45
0,1,0,180,15,90,circle,hard,190,4,46
0,1,30,85,15,90,triangle,hard,193,4,47
0,1,-30,120,15,90,fleur,hard,194,4,48
0,1,-90,95,15,90,fleur,hard,195,5,0
0,1,90,120,15,90,fleur,hard,196,5,1
0,1,30,90,15,90,cross,hard,198,5,2
0,1,-90,85,15,90,triangle,hard,200,5,3
0,1,-5,0,15,90,cross,hard,205,5,4
0,1,-30,0,15,90,cross,hard,210,5,5
0,1,30,60,15,90,circle,hard,214,5,6
0,1,-90,120,15,90,circle,hard,216,5,7
0,1,-30,180,15,90,triangle,hard,219,5,8
0,1,-90,85,15,90,cross,hard,221,5,9
0,1,5,85,15,90,fleur,hard,222,5,10
0,1,90,85,15,90,cross,hard,227,5,11
0,1,30,85,15,90,circle,hard,233,5,12
0,1,-5,90,15,90,triangle,hard,234,5,13
0,1,90,95,15,90,triangle,hard,238,5,14
0,1,-5,60,15,90,fleur,hard,244,5,15
0,1,-30,180,15,90,fleur,hard,245,5,16
0,1,30,95,15,90,circle,hard,246,5,17
0,1,90,0,15,90,cross,hard,250,5,18
0,1,-30,95,15,90,cross,hard,251,5,19
0,1,90,90,15,90,cross,hard,252,5,20
0,1,30,0,15,90,triangle,hard,253,5,21
0,1,90,180,15,90,cross,hard,254,5,22
0,1,30,90,15,90,circle,hard,257,5,23
0,1,5,95,15,90,fleur,hard,258,5,24
0,1,0,85,15,90,fleur,hard,260,5,25
0,1,0,90,15,90,cross,hard,261,5,26
0,1,30,85,15,90,fleur,hard,262,5,27
0,1,5,60,15,90,cross,hard,264,5,28
0,1,30,120,15,90,triangle,hard,266,5,29
0,1,90,95,15,90,cross,hard,267,5,30
0,1,30,180,15,90,fleur,hard,268,5,31
0,1,-30,60,15,90,cross,hard,269,5,32
0,1,30,95,15,90,cross,hard,270,5,33
0,1,-90,95,15,90,cross,hard,275,5,34
0,1,0,120,15,90,circle,hard,280,5,35
0,1,0,60,15,90,fleur,hard,288,5,36
0,1,-30,60,15,90,fleur,hard,289,5,37
0,1,-5,90,15,90,cross,hard,290,5,38
0,1,90,60,15,90,cross,hard,294,5,39
0,1,-90,180,15,90,fleur,hard,295,5,40
0,1,-30,90,15,90,fleur,hard,300,5,41
0,1,-5,180,15,90,circle,hard,301,5,42
0,1,-5,60,15,90,triangle,hard,302,5,43
0,1,0,60,15,90,cross,hard,303,5,44
0,1,5,90,15,90,triangle,hard,308,5,45
0,1,5,180,15,90,fleur,hard,311,5,46
0,1,90,180,15,90,fleur,hard,315,5,47
0,1,0,180,15,90,triangle,hard,318,5,48
0,1,0,95,15,90,circle,hard,320,6,0
0,1,-5,0,15,90,triangle,hard,321,6,1
0,1,-90,95,15,90,triangle,hard,323,6,2
0,1,-90,60,15,90,circle,hard,326,6,3
0,1,30,120,15,90,cross,hard,329,6,4
0,1,90,90,15,90,fleur,hard,330,6,5
0,1,5,120,15,90,cross,hard,331,6,6
0,1,90,90,15,90,triangle,hard,333,6,7
0,1,90,0,15,90,circle,hard,334,6,8
0,1,0,0,15,90,circle,hard,337,6,9
0,1,5,0,15,90,fleur,hard,338,6,10
0,1,-5,0,15,90,fleur,hard,339,6,11
0,1,0,85,15,90,cross,hard,340,6,12
0,1,-90,0,15,90,cross,hard,342,6,13
0,1,-90,0,15,90,triangle,hard,345,6,14
0,1,-5,180,15,90,triangle,hard,348,6,15
0,1,-90,120,15,90,triangle,hard,350,6,16
0,1,90,90,15,90,circle,hard,356,6,17
0,1,0,85,15,90,circle,hard,362,6,18
0,1,90,60,15,90,triangle,hard,367,6,19
0,1,30,180,15,90,cross,hard,370,6,20
0,1,30,120,15,90,circle,hard,374,6,21
0,1,-90,90,15,90,fleur,hard,377,6,22
0,1,5,0,15,90,triangle,hard,379,6,23
0,1,90,180,15,90,triangle,hard,382,6,24
0,1,-90,90,15,90,triangle,hard,388,6,25
0,1,-90,90,15,90,circle,hard,392,6,26
0,1,5,85,15,90,cross,hard,394,6,27
0,1,-30,95,15,90,triangle,hard,397,6,28
0,1,-5,180,15,90,fleur,hard,401,6,29
0,1,30,90,15,90,fleur,hard,403,6,30
0,1,0,90,15,90,fleur,hard,412,6,31
0,1,90,60,15,90,circle,hard,415,6,32
0,1,5,180,15,90,cross,hard,416,6,33
0,1,0,85,15,90,triangle,hard,420,6,34
0,1,-30,90,15,90,circle,hard,427,6,35
0,1,-30,180,15,90,cross,hard,431,6,36
0,1,-30,120,15,90,triangle,hard,432,6,37
0,1,0,180,15,90,fleur,hard,433,6,38
0,1,-5,120,15,90,triangle,hard,435,6,39
0,1,5,85,15,90,triangle,hard,437,6,40
0,1,-90,60,15,90,cross,hard,441,6,41
0,1,5,90,15,90,cross,hard,444,6,42
0,1,90,85,15,90,circle,hard,446,6,43
0,1,-30,85,15,90,cross,hard,449,6,44
0,1,-30,180,15,90,circle,hard,450,6,45
0,1,5,120,15,90,triangle,hard,456,6,46
0,1,30,95,15,90,fleur,hard,459,6,47
0,1,5,60,15,90,fleur,hard,461,6,48
0,1,30,0,15,90,cross,hard,463,7,0
0,1,30,60,15,90,triangle,hard,469,7,1
0,1,90,120,15,90,cross,hard,471,7,2
0,1,-30,85,15,90,fleur,hard,476,7,3
0,1,0,120,15,90,cross,hard,483,7,4
0,1,-5,0,15,90,circle,hard,487,7,5
0,1,30,60,15,90,fleur,hard,488,7,6
0,1,-30,85,15,90,circle,hard,490,7,7
0,1,5,85,15,90,circle,hard,493,7,8
0,1,-5,90,15,90,circle,hard,494,7,9
0,1,90,60,15,90,fleur,hard,496,7,10
0,1,-30,95,15,90,fleur,hard,497,7,11
0,1,5,95,15,90,triangle,hard,500,7,12
0,1,5,0,15,90,circle,hard,502,7,13
0,1,5,90,15,90,circle,hard,504,7,14
0,1,0,0,15,90,cross,hard,510,7,15
0,1,-5,120,15,90,cross,hard,512,7,16
0,1,0,120,15,90,fleur,hard,513,7,17
0,1,30,0,15,90,fleur,hard,517,7,18
0,1,-5,85,15,90,circle,hard,518,7,19
0,1,5,60,15,90,triangle,hard,521,7,20
0,1,0,60,15,90,triangle,hard,524,7,21
0,1,-5,60,15,90,cross,hard,528,7,22
0,1,-90,180,15,90,circle,hard,534,7,23
0,1,-5,95,15,90,cross,hard,536,7,24
0,1,0,90,15,90,triangle,hard,539,7,25
0,1,30,120,15,90,fleur,hard,541,7,26
0,1,-5,60,15,90,circle,hard,549,7,27
0,1,-30,0,15,90,triangle,hard,550,7,28
0,1,-90,180,15,90,cross,hard,552,7,29
0,1,5,90,15,90,fleur,hard,553,7,30
0,1,0,0,15,90,triangle,hard,555,7,31
0,1,-90,180,15,90,triangle,hard,558,7,32
0,1,30,95,15,90,triangle,hard,559,7,33
0,1,0,180,15,90,cross,hard,561,7,34
0,1,5,180,15,90,circle,hard,563,7,35
0,1,-90,0,15,90,fleur,hard,566,7,36
0,1,5,95,15,90,circle,hard,567,7,37
0,1,-5,95,15,90,circle,hard,568,7,38
0,1,5,120,15,90,fleur,hard,569,7,39
0,1,-5,120,15,90,circle,hard,570,7,40
0,1,-30,85,15,90,triangle,hard,572,7,41
0,1,-5,85,15,90,triangle,hard,573,7,42
0,1,-90,60,15,90,fleur,hard,577,7,43
0,1,30,0,15,90,circle,hard,578,7,44
0,1,-5,95,15,90,fleur,hard,579,7,45
0,1,30,90,15,90,triangle,hard,581,7,46
0,1,90,180,15,90,circle,hard,585,7,47
0,1,-30,95,15,90,circle,hard,586,7,48
0,2,-30,90,15,90,fleur,hard,2,8,0
0,2,5,95,15,90,triangle,hard,3,8,1
0,2,-90,95,15,90,circle,hard,4,8,2
0,2,5,180,15,90,circle,hard,6,8,3
0,2,90,0,15,90,cross,hard,8,8,4
0,2,-30,0,15,90,fleur,hard,12,8,5
0,2,30,120,15,90,fleur,hard,15,8,6
0,2,30,60,15,90,circle,hard,21,8,7
0,2,5,85,15,90,triangle,hard,25,8,8
0,2,30,120,15,90,triangle,hard,28,8,9
0,2,90,0,15,90,circle,hard,29,8,10
0,2,0,95,15,90,fleur,hard,32,8,11
0,2,5,95,15,90,fleur,hard,34,8,12
0,2,5,180,15,90,fleur,hard,38,8,13
0,2,30,95,15,90,cross,hard,39,8,14
0,2,-5,0,15,90,circle,hard,45,8,15
0,2,90,180,15,90,fleur,hard,46,8,16
0,2,5,90,15,90,triangle,hard,48,8,17
0,2,-5,60,15,90,triangle,hard,49,8,18
0,2,-90,95,15,90,cross,hard,54,8,19
0,2,-5,120,15,90,cross,hard,56,8,20
0,2,90,90,15,90,circle,hard,57,8,21
0,2,-30,85,15,90,cross,hard,59,8,22
0,2,0,85,15,90,cross,hard,60,8,23
0,2,-90,180,15,90,cross,hard,65,8,24
0,2,-30,90,15,90,triangle,hard,68,8,25
0,2,-5,0,15,90,fleur,hard,69,8,26
0,2,-30,60,15,90,cross,hard,73,8,27
0,2,-5,95,15,90,fleur,hard,76,8,28
0,2,5,85,15,90,fleur,hard,81,8,29
0,2,-30,180,15,90,circle,hard,82,8,30
0,2,-5,85,15,90,triangle,hard,90,8,31
0,2,-5,90,15,90,triangle,hard,96,8,32
0,2,-30,60,15,90,triangle,hard,101,8,33
0,2,-5,180,15,90,circle,hard,102,8,34
0,2,5,60,15,90,circle,hard,107,8,35
0,2,30,0,15,90,fleur,hard,108,8,36
0,2,0,85,15,90,fleur,hard,110,8,37
0,2,30,60,15,90,triangle,hard,115,8,38
0,2,-5,0,15,90,cross,hard,116,8,39
0,2,90,60,15,90,fleur,hard,118,8,40
0,2,-5,120,15,90,fleur,hard,121,8,41
0,2,30,95,15,90,circle,hard,122,8,42
0,2,90,95,15,90,triangle,hard,123,8,43
0,2,-90,60,15,90,fleur,hard,124,8,44
0,2,0,90,15,90,triangle,hard,127,8,45
0,2,-90,180,15,90,fleur,hard,128,8,46
0,2,90,120,15,90,fleur,hard,132,8,47
0,2,-5,90,15,90,fleur,hard,134,8,48
0,2,30,90,15,90,triangle,hard,135,9,0
0,2,0,180,15,90,fleur,hard,138,9,1
0,2,-30,95,15,90,circle,hard,139,9,2
0,2,-5,180,15,90,cross,hard,145,9,3
0,2,-30,90,15,90,cross,hard,149,9,4
0,2,-30,85,15,90,triangle,hard,161,9,5
0,2,-30,60,15,90,fleur,hard,168,9,6
0,2,30,85,15,90,cross,hard,172,9,7
0,2,-30,120,15,90,cross,hard,174,9,8
0,2,90,95,15,90,fleur,hard,175,9,9
0,2,0,95,15,90,triangle,hard,179,9,10
0,2,0,180,15,90,circle,hard,182,9,11
0,2,-30,60,15,90,circle,hard,183,9,12
0,2,0,0,15,90,cross,hard,185,9,13
0,2,90,85,15,90,cross,hard,186,9,14
0,2,-5,60,15,90,cross,hard,188,9,15
0,2,30,0,15,90,cross,hard,191,9,16
0,2,5,120,15,90,circle,hard,197,9,17
0,2,0,0,15,90,circle,hard,199,9,18
0,2,-5,85,15,90,circle,hard,201,9,19
0,2,30,90,15,90,cross,hard,206,9,20
0,2,-90,95,15,90,triangle,hard,207,9,21
0,2,-5,95,15,90,cross,hard,208,9,22
0,2,-5,60,15,90,circle,hard,209,9,23
0,2,-30,90,15,90,circle,hard,211,9,24
0,2,30,95,15,90,fleur,hard,212,9,25
0,2,-90,60,15,90,circle,hard,217,9,26
0,2,-30,0,15,90,circle,hard,226,9,27
0,2,5,85,15,90,cross,hard,229,9,28
0,2,-5,180,15,90,triangle,hard,230,9,29
0,2,-5,85,15,90,cross,hard,231,9,30
0,2,-90,180,15,90,circle,hard,232,9,31
0,2,0,85,15,90,circle,hard,236,9,32
0,2,-90,85,15,90,circle,hard,237,9,33
0,2,30,85,15,90,circle,hard,240,9,34
0,2,30,180,15,90,circle,hard,247,9,35
0,2,-90,0,15,90,triangle,hard,249,9,36
0,2,5,0,15,90,circle,hard,274,9,37
0,2,5,90,15,90,fleur,hard,277,9,38
